LTLA,O,E
E06000001,110,78.76883316
E06000002,206,103.1909251
E06000003,134,130.6025979
E06000004,155,156.7235912
E06000005,90,97.68444561
E06000006,128,92.98230181
E06000007,230,167.7041089
E06000008,96,102.7899546
E06000009,145,126.2844305
E06000010,215,169.7902204
E06000011,318,370.5386171
E06000012,35,145.0818261
E06000013,101,155.8198462
E06000014,171,177.5762686
E06000015,318,218.4426541
E06000016,315,276.2648784
E06000017,24,43.76294217
E06000018,236,207.0779209
E06000019,127,206.2798995
E06000020,102,127.4981283
E06000021,201,188.7899035
E06000022,92,171.8571104
E06000023,252,310.391526
E06000024,151,230.1696125
E06000025,170,242.5327192
E06000026,91,216.4412726
E06000027,58,162.3992155
E06000030,168,166.0952522
E06000031,104,144.8564326
E06000032,214,163.9491482
E06000033,207,170.6374431
E06000034,149,107.7819152
E06000035,198,197.5920982
E06000036,70,82.10763618
E06000037,132,132.2771928
E06000038,165,111.1445035
E06000039,110,102.9091752
E06000040,130,144.5210933
E06000041,151,142.6981214
E06000042,199,173.221857
E06000043,163,200.1652547
E06000044,105,144.971141
E06000045,167,164.1941538
E06000046,83,173.094786
E06000047,707,453.0253318
E06000049,553,391.6252302
E06000050,412,322.1552364
E06000051,260,340.8113986
E06000052,208,596.7359639
E06000053,0,2.813825833
E06000054,367,478.2174934
E06000055,178,155.000745
E06000056,279,225.0973079
E06000057,281,329.2283231
E06000058,189,417.7744196
E06000059,162,489.2288222
E07000004,121,154.1660754
E07000005,86,102.1064224
E07000006,61,78.37360049
E07000007,87,162.7399835
E07000008,82,87.36093896
E07000009,51,80.27648138
E07000010,81,103.8247028
E07000011,131,154.2045119
E07000012,61,141.7203211
E07000026,74,103.1363453
E07000027,79,60.45647938
E07000028,132,103.866219
E07000029,62,64.92304963
E07000030,43,61.58814467
E07000031,150,131.8020444
E07000032,102,118.2566833
E07000033,55,65.64670228
E07000034,86,96.66543591
E07000035,79,82.8527114
E07000036,106,106.4607409
E07000037,109,80.41294743
E07000038,144,103.9005973
E07000039,113,80.7071937
E07000040,49,204.3080564
E07000041,39,100.5920527
E07000042,18,83.67370467
E07000043,26,108.3684575
E07000044,12,102.652471
E07000045,33,156.5287464
E07000046,20,77.75012975
E07000047,17,66.37613828
E07000061,70,131.4206674
E07000062,10,85.01776472
E07000063,116,125.8349246
E07000064,57,141.9246707
E07000065,120,187.9066241
E07000066,213,147.4418943
E07000067,121,135.6220647
E07000068,89,78.65182164
E07000069,99,96.30861927
E07000070,152,157.6437517
E07000071,112,148.6492183
E07000072,184,127.2684476
E07000073,75,65.93844104
E07000074,35,66.98439042
E07000075,94,87.82399294
E07000076,171,189.8038406
E07000077,62,79.88589357
E07000078,135,109.7746557
E07000079,58,102.2986456
E07000080,48,87.30424893
E07000081,145,105.4597855
E07000082,92,112.9999538
E07000083,104,90.90892998
E07000084,117,135.8732166
E07000085,83,129.5273078
E07000086,99,119.2235707
E07000087,98,124.5936472
E07000088,57,76.29104768
E07000089,49,86.54363544
E07000090,112,137.3418709
E07000091,131,250.9187763
E07000092,85,68.1385785
E07000093,119,122.6429403
E07000094,111,125.9350957
E07000095,75,83.0644678
E07000096,124,129.8480988
E07000098,180,98.52990883
E07000099,98,125.8108036
E07000102,88,87.68714662
E07000103,125,70.60031083
E07000105,171,111.723207
E07000106,139,155.7422561
E07000107,125,78.88667789
E07000108,133,119.7677799
E07000109,102,92.89717559
E07000110,115,146.108981
E07000111,104,118.8231926
E07000112,145,124.0538379
E07000113,123,119.5377157
E07000114,160,146.3762798
